文件名,编号,原始标题,视频分类,内容版式,作者,版权所有人,节目时间,介绍,标签,年份,月份,产品国家,语言,制式,图像格式,备注其他
DEEP10.mp4,10,[保护之道]禁止贸易才能停止杀戮,动物世界,video,Deep Magazine,DEEP,0:09:10,"没有买卖，就没有杀戮。
只有重新全面禁止象牙贸易，才能真正有效地打击走私犯罪，",动物探索　保护　禁止贸易,2017,6月份,中国,中文,PAL,HD,无
DEEP11.mp4,11,反省二战：德国的理性和日本的感性之分,历史考古,video,Deep Magazine,DEEP,0:09:18,"如果不深入到美丽的日本去欣赏樱花，如果不去欧洲腹地的德国品尝啤酒，
你可能永远也不会了解大和民族和德意志民族的内心世界。",历史纪实　反省二战,2017,6月份,中国,中文,PAL,HD,无
DEEP12.mp4,12,好建筑的标准：尊重土地,科学探索,video,Deep Magazine,DEEP,0:05:53,"3月暖阳，天空湛蓝。帕提侬神庙残破的柱子顶着残破的三角形山墙，
山墙上的浮雕几乎不存在了。“什么是残缺的美？眼前就是很好的例证，”
一旁的清华大学建筑学教授李小东发出感叹",科学探索　尊重土地,2017,6月份,中国,中文,PAL,HD,无
DEEP13.mp4,13,日本白粉的前生后世　抹在脸上的历史,世界之窗,video,Deep Magazine,DEEP,0:04:56,"有
很多日常生活中常见的用品，细细研究发现非常有意思，
它带给我们的不仅仅是对历史的回顾，更是一种生活的情趣。",历史纪实　日本白粉,2017,6月份,中国,中文,PAL,HD,无
DEEP14.mp4,14,亚诺玛米部落　危机的亚马逊土著脸谱,民族民俗,video,Deep Magazine,DEEP,0:03:48,"  亚诺玛米，一个充满原始风情的印第安部落，
该部落的人们生活在巴西北部和委内瑞拉南部，
他们的成员在险象丛生的密林里生活了几千年。
虽然亚诺玛米受到两国的保护，
亚诺玛米族的生存仍然遭受着巨大的威胁。",亚马逊　土著　部落,2017,6月份,中国,中文,PAL,HD,无
DEEP15.mp4,15,饥饿创造的伟大画家米罗：让我们一起仰望星空,艺术密码,video,Deep Magazine,DEEP,0:09:43," 西班牙为20世纪世界美术史贡献了三位殿堂级人物：毕加索、米罗和达利。
与绯闻绝缘的米罗被人们誉为“星星王子”，他的灵感来源于饥饿。
他的“星星”成了变幻无穷的永恒符号反复出现在他的画中，他到底是个怎样的画家呢？",艺术文化　画家　米罗,2017,6月份,中国,中文,PAL,HD,无
DEEP16.mp4,16,归来——四季轮回的捕鱼生活,民族民俗,video,Deep Magazine,DEEP,0:11:41,"抚远被誉为“中国淡水渔都”，
因鱼而生，因鱼而发展，也因鱼而辉煌。",动物探索　捕鱼,2017,6月份,中国,中文,PAL,HD,无
DEEP17.mp4,17,繁殖——鲟鳇鱼的涅槃重生,民族民俗,video,Deep Magazine,DEEP,0:09:32,"鲟鳇鱼，是迄今为止保存下来的最古老的脊椎动物，
被誉为“水中活化石”。",动物探索　鲟鳇鱼  繁殖,2017,6月份,中国,中文,PAL,HD,无
DEEP18.mp4,18,鲜味——食鱼文化与渔行贸易,民族民俗,video,Deep Magazine,DEEP,0:10:12,"老祖宗造字，就将“鲜”字归于“鱼”部，
可见将鱼当作“鲜味”的极品。",动物探索  食鱼　渔行贸易,2017,6月份,中国,中文,PAL,HD,无
DEEP19.mp4,19,传承——鱼皮文化的创新之路,民族民俗,video,Deep Magazine,DEEP,0:10:21,"在抚远人眼中，鱼肉能食用、鱼骨可做罐头，
就连鱼皮也被利用得淋漓尽致。",动物探索　传承　鱼皮文化,2017,6月份,中国,中文,PAL,HD,无
DEEP20.mp4,20,现代狂想曲——豪奢迪拜游,世界之窗,video,Deep Magazine,DEEP,0:09:31,"蓝黑色幕布下，一栋栋摩天大楼都穿上了发光的铠甲，
勾勒出光感的线条，倒影在海水中，形成上下辉映的双城记，
迪拜的天际线在夜晚时分外妖娆。",纪实　迪拜　豪奢游,2017,6月份,中国,中文,PAL,HD,无
