文件名,编号,原始标题,视频分类,内容版式,作者,版权所有人,节目时间,介绍,标签,年份,月份,产品国家,语言,制式,图像格式,备注其他
DEEP10.mp4,10,[保护之道]禁止贸易才能停止杀戮,动物世界,video,Deep Magazine,DEEP,0:09:10,"牙走私、贩卖的巨额利润，
引起非洲草原上盗猎者对大象的杀戮。
数以吨计的象牙藏在走私者的暗箱里，
经历偷运、闯关、贩卖，大部分落入亚洲市场；
滴血的象牙经过雕刻被人收藏，促使象牙市场不停运转。
中国已成为全球第一大非法象牙消费市场。
现在非洲象已不足40万头，
如果趋势持续，将会在10年到20年内灭绝。
只要人们停止购买象牙制品，
这个血腥的利益链条就会顷刻断裂。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP11.mp4,11,反省二战：德国的理性和日本的感性之分,历史考古,video,Deep Magazine,DEEP,0:09:18,"
如果不深入到美丽的日本去欣赏樱花，如果不去欧洲腹地的德国品尝啤酒，你可能永远也不会了解大和民族和德意志民族的内心世界。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP12.mp4,12,好建筑的标准：尊重土地,科学探索,video,Deep Magazine,DEEP,0:05:53,"
如果不深入到美丽的日本去欣赏樱花，如果不去欧洲腹地的德国品尝啤酒，你可能永远也不会了解大和民族和德意志民族的内心世界。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP13.mp4,13,日本白粉的前生后世　抹在脸上的历史,历史考古,video,Deep Magazine,DEEP,0:04:56,"
如果不深入到美丽的日本去欣赏樱花，如果不去欧洲腹地的德国品尝啤酒，你可能永远也不会了解大和民族和德意志民族的内心世界。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP14.mp4,14,亚诺玛米部落　危机的亚马逊土著脸谱,历史考古,video,Deep Magazine,DEEP,0:03:48,"  亚诺玛米，一个充满原始风情的印第安部落，
该部落的人们生活在巴西北部和委内瑞拉南部，
他们的成员在险象丛生的密林里生活了几千年。
虽然亚诺玛米受到两国的保护，
亚诺玛米族的生存仍然遭受着巨大的威胁。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP15.mp4,15,饥饿创造的伟大画家米罗：让我们一起仰望星空,艺术密码,video,Deep Magazine,DEEP,0:09:43," 西班牙d为20世纪世界美术史贡献了三位殿堂级人物：毕加索、米罗和达利。
与绯闻绝缘的米罗被人们誉为“星星王子”，他的灵感来源于饥饿。
他的“星星”成了变幻无穷的永恒符号反复出现在他的画中，他到底是个怎样的画家呢？",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP16.mp4,16,归来——四季轮回的捕鱼生活,动物世界,video,Deep Magazine,DEEP,0:11:41,"抚远，是最早将太阳迎进祖国的地方，
素有“华夏东极”的美誉。
抚远，以其盛产名优特鱼而闻名遐迩，
拥有“淡水渔都”的称号。
从“以捕为生”到“繁育养殖”再到“增殖放流”，走出一条可持续发展之路。
打造鱼品牌，弘扬鱼文化，借鱼扬名、让鱼生金，渔业经济“游”向了新天地。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP17.mp4,17,繁殖——鲟鳇鱼的涅槃重生,动物世界,video,Deep Magazine,DEEP,0:09:32,"抚远，是最早将太阳迎进祖国的地方，
素有“华夏东极”的美誉。
抚远，以其盛产名优特鱼而闻名遐迩，
拥有“淡水渔都”的称号。
从“以捕为生”到“繁育养殖”再到“增殖放流”，走出一条可持续发展之路。
打造鱼品牌，弘扬鱼文化，借鱼扬名、让鱼生金，渔业经济“游”向了新天地。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP18.mp4,18,鲜味——食鱼文化与渔行贸易,动物世界,video,Deep Magazine,DEEP,0:10:12,"抚远，是最早将太阳迎进祖国的地方，
素有“华夏东极”的美誉。
抚远，以其盛产名优特鱼而闻名遐迩，
拥有“淡水渔都”的称号。
从“以捕为生”到“繁育养殖”再到“增殖放流”，走出一条可持续发展之路。
打造鱼品牌，弘扬鱼文化，借鱼扬名、让鱼生金，渔业经济“游”向了新天地。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP19.mp4,19,传承——鱼皮文化的创新之路,动物世界,video,Deep Magazine,DEEP,0:10:21,"抚远，是最早将太阳迎进祖国的地方，
素有“华夏东极”的美誉。
抚远，以其盛产名优特鱼而闻名遐迩，
拥有“淡水渔都”的称号。
从“以捕为生”到“繁育养殖”再到“增殖放流”，走出一条可持续发展之路。
打造鱼品牌，弘扬鱼文化，借鱼扬名、让鱼生金，渔业经济“游”向了新天地。",纪实,2017,6月份,中国,中文,PAL,HD,无
DEEP20.mp4,20,现代狂想曲——豪奢迪拜游,世界之窗,video,Deep Magazine,DEEP,0:09:31,"中东的热浪席卷而来，一幢幢高楼平地而起，
以近乎奇迹的速度刷新了人们的理解力。
迪拜，这是座充满传奇和财富的国度。
这里有世界上最大的购物中心，这里有最豪华的七星级酒店，
这里有最夸张的金饰品，这里也有为金钱梦奋斗的人们",纪实,2017,6月份,中国,中文,PAL,HD,无
