ID,Original Title,Broadcast first title,Broadcast second title,Category ,Format,Type,Genre,Season n°,Episodes n°,Part n°,program duration,short synopsis,long synopsis,Casting,Tags,Year,Rights owner,Production Country,Language (original),Subtitles,Subtitles files,Norm,Image format,Preview,English Script,Additional Script,Notes/Other,,,,,,,,,,,,
WLC000066,The Spirits Of Asia,Spirits  Of Asia,Craft Beer in Singapore ,ACQUISITIONS,MAGAZINE,TV SERIES,TRAVEL & TOURISM,1,4,,0:30:00,"Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. In this episode, let’s go to Singapore for its Beer. ","Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China.  Paul takes us to his homeland of Singapore where the popularity and production of craft beer is rapidly rising. He is spoilt for choice visiting a true blue made-in Singapore microbrewery before sampling a number of imported beers. From a Japanese beer which is brewed using the same methods as sake, to some of the most traditional European beer showcased at Oktoberfest Asia, he experiences the true variety of the market. ",Paul Foster,,2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000067,The Spirits Of Asia,Spirits  Of Asia,Red Wine in Indonesia ,ACQUISITIONS,MAGAZINE,TV SERIES,TRAVEL & TOURISM,1,5,,0:30:00,"Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. In this episode, let’s go to Indonesia for its red wine.","Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China.  In this episode, Paul learns about New Lattitude Wine; a young category of wine different from Old or New World Wine. He travels to Bali where he discovers how the native volcanic soil and clean mountain water provides the perfect grape cultivating conditions. He learns wine appreciation from local sommeliers, and is amazed to find that wine is not just for drinking but can also be used in spa therapies. ",Paul Foster,,2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000068,The Spirits Of Asia,Spirits  Of Asia,Sake in Japan,ACQUISITIONS,MAGAZINE,TV SERIES,TRAVEL & TOURISM,1,6,,0:30:00,"Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. In this episode, let’s go to Japan for its sake. ","Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. Paul travels to Nada-gogo, the highly revered and largest sake-producing region in Japan. He learns how the unique raw materials of the region fuel the sake production, and of the rich culture behind this traditional drink. He finishes his journey by learning about the role of Sake in traditional rituals, by attending the annual ‘Toka Ebisu’ festival near the Nishinomiya shrine and witnessing the Kagami- biraki. ",Paul Foster,,2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000069,The Spirits Of Asia,Spirits  Of Asia,Vodka in Korea ,ACQUISITIONS,MAGAZINE,TV SERIES,TRAVEL & TOURISM,1,7,,0:30:00,"Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. In this episode, let’s go to South Korea for its Vodka.","Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. Paul travels to South Korea to discover the roots of sweet and refreshing makgeolli. This traditional drink was almost phased out of the Koreana society but is now making a strong comeback to become a drink popular with both new and old generations. Starting in vibrant Seoul he learns how trendy bars and street markets enjoy makgeolli, before travelling to Jeonju where he witnesses its more ancient medicinal properties. ",Paul Foster,,2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000070,The Spirits Of Asia,Spirits  Of Asia,Baijiu in China,ACQUISITIONS,MAGAZINE,TV SERIES,TRAVEL & TOURISM,1,8,,0:30:00,"Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. In this episode, let’s go to China for its baijiu. ","Join host, Paul Foster, TV presenter, actor and traveller, as he discovers the exotic world of Asia's alcohol production from whiskey in India to ice wine in China. Paul travels to Guizhou province in China to learn about Baijiu, a strong and clear distilled spirit which originated in China more than 3,600 years ago. In Moutai Town he learns of the natural elements of baijiu and its comlpex distilling process. He is then guided by an expert through the tasting process, leaving with an understanding of the pride and labour which goes into this spirit, and its vital role in social gatherings. 

",Paul Foster,,2014,TVF,UK,English,,,,,,,,,,,,,,,,,,,,
WLC000072,On The Wine Road,On The Wine Road,Argentina,ACQUISITIONS,MAGAZINE,TV SERIES,VINES & VINEYARDS,1,1,,1:00:00,"Making a good wine is no longer the prerogative of France. On “The Wine Road” we discover the most beautiful wine roads and the most prestigious or unusually situated vineyards of the planet. In each episode, either François or Luna visit three to four properties in a different country each time. In this episode, François heads to Argentina to discover the country’s greatest wines. ","Making a good wine is no longer the prerogative of France. On “The Wine Road” we discover the most beautiful wine roads and the most prestigious or unusually situated vineyards of the planet. In each episode, either François or Luna visit three to four properties in a different country each time. In this episode, François heads to Argentina to discover the country’s greatest wines. Argentina has many renowned wines. François begins his trip to Argentina, by the mythical restaurant called la Brigada, located in Buenos Aires, which combines all of great Argentinian values such as football, meat and wine. He then sets out for the Andes where he hopes taste more wine.",,"Wine ,France ,Road ,Prestigious ,Vineyards, Argentina, Buenos Aires, Salta, Cafayate, Polo Torrontès, Mendoza, Malbec, Sauvignon, La Brigada, Cellar, Cabernet Sauvignon, Maurice, Milong,  Region Leonesa, Montserrat District, La bocca, Calchaqui Valeys, Torrontès, Vines, Carbernet, Chardonnay, Champagne, Torrontes Ice Cream, Syrah , Tannat, Tierra Del Fuego, Bolivia, The Bodega Colome, Vino Patero,  Red Patero, Sweet Patero, Criojo, Pajo Bastija, The Andes, Perdriel, Las Compuertas, Potrerillos Valley, Cheval des Andes, Aconcagua, Latin America. ",2015,THE PRODUCTIONS,France,English,,,,,,,,,,,,,,,,,,,,
WLC000073,On The Wine Road,On The Wine Road,Chile,ACQUISITIONS,MAGAZINE,TV SERIES,VINES & VINEYARDS,1,2,,1:00:00,"Making a good wine is no longer the prerogative of France. On “The Wine Road” we discover the most beautiful wine roads and the most prestigious or unusually situated vineyards of the planet. In each episode, either François or Luna visit three to four properties in a different country each time. In this episode, François takes us into Chile. ","Making a good wine is no longer the prerogative of France. On “The Wine Road” we discover the most beautiful wine roads and the most prestigious or unusually situated vineyards of the planet. In each episode, either François or Luna visit three to four properties in a different country each time. In this episode, François takes us into Chile.  Vineyards in Chile have a particular location: they are mostly situated in the Andes in very small valleys, carved by the millenary runoff of the waters from the Andes. Francois walks as through Chile’s History, which is a long one, as the first wines in Chile appeared during the 16th century. ",,"Wine, France, Road, Prestigious, Vineyards, Chile, The Andes, Valleys, 16th Century, Santiago, Latin America, Luis Mizon, Union bar, Cordillre, Pisco, Bourougronia, Sangria, Cabernet Sauvignon, Merlot, Casablanca Valley, Syrah, Chardonnay, Pinot Noir, Riesling, Gewurztrminer, Francois Montagut, Bodega Matetic, San Antonio Valley, Casablanca, San Antonio, Vineyards, Bike, Dreo, Pinot, Discovery, Valparaiso,  Cap Horners, Merlan, Oda Pacifico, Pacific, Quinoa Risotto, Carmenere. Colchagua Valley, sheep Cheese, Chili, White Sauvignon Of Casablanca, Cachapoal Valley, West of Rancagua, Vina Anakena, Merlot, Cabernet Sauvignon, Viognier, Chardonnay, Sauvignon Blanc, Malbec, Syrah, Riesling,Felipe Ibanez, Jorge Gutierrez, Tessoro, Vina Santa Cruz,  Waiko, Esterololol, Lolol Valley, Jote, Maipo Valley, Cabernet Franc, Pinot Noir, Haras de Pirque, Pirque, Concha y Toro, Almaviva, Santa Rita, Cousino Macul, ",2015,THE PRODUCTIONS,France,English,,,,,,,,,,,,,,,,,,,,
WLC000074,On The Wine Road,On The Wine Road,USA,ACQUISITIONS,MAGAZINE,TV SERIES,VINES & VINEYARDS,1,3,,1:00:00,"Making a good wine is no longer the prerogative of France. On “The Wine Road” we discover the most beautiful wine roads and the most prestigious or unusually situated vineyards of the planet. In each episode, either François or Luna visit three to four properties in a different country each time. In each episode, François or Luna visit three or four properties. In this episode, François visits the vineyards of California. ","Making a good wine is no longer the prerogative of France. On “The Wine Road” we discover the most beautiful wine roads and the most prestigious or unusually situated vineyards of the planet. In each episode, either François or Luna visit three to four properties in a different country each time. In this episode, François visits the vineyards of California. He starts his journey by meeting John Triniade, a wine specialist, near Alcatraz in San Francisco. The wine industry in California has been thriving in the region since the 60’s. Today it employs more than 200,000 people. Many domains have now a worldwide reputation. François visits both Napa and Sonoma valley.  ",,"Wine,France, Road, Prestigious, Vineyard, The United States, California, San Francisco, Californian Wines, John Trinidad, Rosé, White, Red, Californian Rosé, Arnaud Roberts, Napa Valley, Sonoma, Valley, San Pablo, Panolomaga, Chardonnay, Cabernet, Italia, Forilli, Rebulegiala, Rebulla vines, Terroir, Silliman, Chinatown District, Local Gastronomy, Muscadet Pepier, Muscadet, Calistoga, Californian Grands Crus, The Newton Estate, Newton Vineyards, Chardonnay Celllars, Spring Mountain, Cabernet Sauvignon, Merlot, Litlle Verdot, Cabernet Franc, Carneros, Pinot Noir, Puzzle, The Wine Train, Kelly MacDonald, Gastronomy Philosophy, Lamb Of Dixon,  Dixon Californie, Sacramento, Kelly's Caraclan Mix, Chateau Montelena, Bo Barrett, Paris Tasting, Mount Santelina, Vallet of Sonoma, The Seghesio Estate, The Zinfandel, Ed Seghesio, Lombardie, Piemont, Christopher Barefoot, Seaview Ridge Pinot Noir, Camp Meeting Ridge, Joan & Walt Flowers, SeaView Ridge, San Francisco Carnival",2015,THE PRODUCTIONS,France,English,,,,,,,,,,,,,,,,,,,,
WLC000075,On The Wine Road,On The Wine Road,Canada,ACQUISITIONS,MAGAZINE,TV SERIES,VINES & VINEYARDS,1,4,,1:00:00,"Making a good wine is no longer the prerogative of France. On “The Wine Road” we discover the most beautiful wine roads and the most prestigious or unusually situated vineyards of the planet. In each episode, either François or Luna visit three to four properties in a different country each time. In each episode, François or Luna visit three or four properties. In this episode, François discovers wines in British Colombia, Canada.","Making a good wine is no longer the prerogative of France. On “The Wine Road” we discover the most beautiful wine roads and the most prestigious or unusually situated vineyards of the planet. In each episode, either François or Luna visit three to four properties in a different country each time. In this episode, François discovers wines in British Colombia, Canada. Beyond the outstanding landscapes composed of expanses of wilderness and crystalline lakes, Canada has a climate favourable for making wine. François travels to Vancouver Island and Okanagan where most of the vineyards are located. He also meets up with Barba Philip, a Canadian oenologist  (wine master) who explains what the special features of Canadian wine are.",,"Wine, France, Road, Prestigious, Vineyards, Canadian Wine Route, British Colombia, Vancouver, Biking, Wine Destination, Granville Island, Barbara Philip, Western Canada, Master Of Wine, Oenology, North America, Multiculturalism, Vancouver Island, Okanagan Valley, Ossoyos, Pinot Noir, Chardonnay, Riesling, Syrah, Malbec, Cabernet Sauvignon, Merlot, Cork And Fin, Gastow, Francis Regio, Sea Food, Oysters, West Coast, Champagne, Crackers, White Wine, British Colombia, Gilbert, Beer, Whisky, Crow Royal, Rye, Culture, Cowichan Valley, Andy Johnston, Averill Creek Estate, Victoria, Malahat, Pacific Mountains, Pinot Gris, Gewurztraminer, Marechal Foch, Cabernet Foch, VitisLabrusca, VitisVinifera, Labrusca, Khulmann, Alsace, Bourgogne, Somenos Lake, Island's Fauna, Eagles, Strait Of Georgia, Grouse Mountain, THe Observatory Restaurant, Dino Gazolla, Grouse Mountain's Bear's Menu, Bear, Salmon Of Alaska, Fraser Valley, Point Grey, Statney Park, Victorian Viclors, Poplar Grove, Thompson-Okanagan Region, Cedar Creek, South Of Kelowna, Senator Ross Fitzpatrick, Greata, Olivier, Okanagan Lake, Viognier, Osoyoos, Summerhill Pyramid, Stephen Cipes, Ice-Wine, The Wedding Pyramid Ceremony, Chai, SUmmer Hill, John Lennon, Kelowna, Beaver Lake Resort, Adrian Hasler, Nk'Mip Cellar, South Of Okanagan Lake, Justin Hall, Cabernet Franc, Kalunapar, Chef Louis,  ",2015,THE PRODUCTIONS,France,English,,,,,,,,,,,,,,,,,,,,
WLC000076,On The Wine Road,On The Wine Road,France,ACQUISITIONS,MAGAZINE,TV SERIES,VINES & VINEYARDS,1,5,,1:00:00,"Making a good wine is no longer the prerogative of France. On “The Wine Road” we discover the most beautiful wine roads and the most prestigious or unusually situated vineyards of the planet. In each episode, either François or Luna visit three to four properties in a different country each time. In this episode, Luna heads to Bordeaux, in the South West of France, the worldwide capital of wine. ","Making a good wine is no longer the prerogative of France. On “The Wine Road” we discover the most beautiful wine roads and the most prestigious or unusually situated vineyards of the planet. In each episode, either François or Luna visit three to four properties in a different country each time. In this episode, Luna heads to Bordeaux, in the South West of France, the worldwide capital of wine. She learns more about Bordeaux’s History and how the wines in the region have become the most sought after in the world. Luna proceeds to visit Saint-Emilion, Côtes de Blaye and Pauillac; a sampling Bordeaux’s greatest wines. ",,"Wine, France, Road, Prestigious, Vineyards, West-South, Paths Of Bacchus, Bordeaux, Yves Simon, Garonne River, Boat, Moon Port, Chartrons, Descas Castle, Nathalie Escuredo, Saint-Emilion, Saint-Estèphe, Sauternais, Merlot, Cabernet Franc, Tannins, Medoc, Sauternes, Sweet Bordeaux, Watercolor, White Horse Castle, PIerre Lurton,  Christian Portzamparc, Cashmere Tannin, Cellar, Terroir, Medieval City of Saint-Emilion, UNESCO World Heritage, Blaye Coast, Gironde, Pauillac, Chateau of Lynch Bages, Grand Cru, Cazes Family, Steven Bolger, Right Bank, Left Bank, Cabernet Sauvignon, Jean-Charles Cazes, French Brasserie, Bages, Cos Esstournelle, Grand Cru of Saint-Estephe, Louis Gaspard D'Estournel, Maharaja of Saint-Estephe, Dominique Arangoits, Sauvignon Blanc, Press Cage, Jean-Michel Wilmotte, Vinotherapy, Nicolas Masse, Cut of blonde aquitaine beef, Bordelaise sauce, Gratin of Cepes, Smith Haut Lafitte, Gironde Honey, Chateau Yquem, Sandrine Garbay, Sémillon, Botrytis, passerillgage, Sauternes, Basque Coast, Saint Jean de Luz, Aquitaine Territory, Fort of Socoa, Emmanuel Poimeur, Eghuataygia, The Atelier Of Truths, The Corniche, The Pyrenees, The Atlantic, The Abbadia Castle oh Hendaye, Massifs Of The Rhune, The Trois Couronnes, Mount Jaizkibel, Egiategia, Pays Toy, Bigorre, The Foot Of Pic DU Midi, The Modiran, Ferme des Cascades, Pyrenean Fondue, Aydie, GErs, Atlantic Pyrenees, High Pyrenees, ",2015,THE PRODUCTIONS,France,English,,,,,,,,,,,,,,,,,,,,
